condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
ai_state,AI_SINGLE_UP,1,30,0.40000000,-0.00330792,-0.00403561,-0.16144847,0.46666667,0.36666667,0.00085729,-0.00584981,-0.00355224,0.01434783,0.00000000,0.30000000,medium
ai_state,AI_SINGLE_UP,2,30,0.43333333,-0.00218204,-0.00224590,-0.15523832,0.46666667,0.40000000,0.00045980,-0.00636111,-0.00160814,0.00704348,0.00000000,0.30000000,medium
ai_state,AI_SINGLE_UP,3,30,0.30000000,-0.00947162,-0.01462759,-0.31270669,0.40000000,0.40000000,-0.00072984,-0.01465854,-0.00703578,0.00939130,0.00000000,0.30000000,medium
ai_state,AI_SINGLE_UP,5,29,0.37931034,-0.00883629,-0.02637131,-0.31024632,0.37931034,0.31034483,-0.00071031,-0.02502840,-0.00566758,0.01690909,0.00000000,0.27586207,medium
ai_state,AI_TREND_BREAK,0,43,0.48837209,0.00489891,0.00000000,-0.08634587,0.58139535,0.44186047,0.00080100,-0.00349404,0.00535208,-0.00153846,0.00000000,0.41860465,high
ai_state,AI_TREND_BREAK,1,43,0.51162791,0.00039529,0.00231481,-0.09285370,0.48837209,0.46511628,-0.00086408,-0.00305973,0.00072528,-0.00338462,0.00000000,0.41860465,high
ai_state,AI_TREND_BREAK,2,43,0.34883721,-0.00257400,-0.01039261,-0.16386632,0.51162791,0.39534884,0.00027707,-0.00838286,0.00041758,-0.00553846,0.00000000,0.41860465,high
ai_state,AI_TREND_BREAK,3,43,0.30232558,-0.00728706,-0.01017294,-0.28545701,0.51162791,0.32558140,-0.00065700,-0.01491919,-0.00078375,-0.01815385,0.00000000,0.41860465,high
ai_state,AI_TREND_BREAK,5,42,0.26190476,-0.01499716,-0.02413950,-0.48827158,0.50000000,0.35714286,-0.00054352,-0.02565454,-0.00369349,-0.03663158,0.00000000,0.40476190,high
ai_state,NEUTRAL,0,9,0.33333333,-0.01048341,-0.00264550,-0.07605056,0.33333333,0.33333333,-0.00132193,-0.01019329,-0.00924921,0.02280000,0.00000000,0.11111111,low
ai_state,NEUTRAL,1,9,0.22222222,-0.00403273,-0.00321543,-0.03704655,0.66666667,0.11111111,0.00024913,-0.03081652,0.00317200,0.00800000,0.00000000,0.11111111,low
ai_state,NEUTRAL,2,9,0.33333333,-0.00508322,-0.00491400,-0.07173641,0.22222222,0.22222222,-0.00330337,-0.04116148,0.01161194,-0.01500000,0.00000000,0.11111111,low
ai_state,NEUTRAL,3,9,0.44444444,-0.00814338,-0.01582278,-0.11303530,0.33333333,0.00000000,-0.00391899,-0.04711090,0.00761515,0.01300000,0.00000000,0.11111111,low
ai_state,NEUTRAL,5,9,0.44444444,-0.00881823,-0.00397878,-0.12149441,0.11111111,0.11111111,-0.00662552,-0.05935360,0.01422709,0.04100000,0.00000000,0.11111111,low
