symbol,trade_date,open,high,low,close,pct_chg,volume,amount,source_name,source_api,source_url,adjusted_type,fetched_at,source_status,error_message,retry_count,data_version,asset_type
512010.SH,20260522,0.349,0.351,0.343,0.345,-1.15,14070051.0,485385335.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260525,0.343,0.343,0.338,0.34,-1.45,17892016.0,608813780.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260526,0.34,0.343,0.338,0.34,0.0,12084420.0,411277872.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260527,0.34,0.345,0.334,0.342,0.59,20144557.0,683119259.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260528,0.341,0.343,0.334,0.336,-1.75,13211988.0,445543068.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260529,0.336,0.347,0.336,0.344,2.38,21753414.0,743099038.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260601,0.343,0.347,0.337,0.34,-1.16,18137042.0,618088158.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260602,0.339,0.339,0.333,0.336,-1.18,17376613.0,582563225.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260603,0.335,0.335,0.329,0.33,-1.79,20239445.0,669427167.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260604,0.328,0.33,0.323,0.325,-1.52,14319360.0,466486590.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260605,0.327,0.334,0.326,0.327,0.62,17489092.0,577027348.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260608,0.325,0.328,0.318,0.322,-1.53,17313034.0,558093316.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260609,0.32,0.321,0.315,0.32,-0.62,18365606.0,583628161.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260610,0.318,0.326,0.317,0.325,1.56,16281316.0,525484641.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260611,0.323,0.327,0.321,0.325,0.0,12238933.0,396676653.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260612,0.326,0.334,0.322,0.332,2.15,18049068.0,592536711.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260615,0.332,0.333,0.327,0.329,-0.9,11089831.0,365522700.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260616,0.328,0.329,0.323,0.323,-1.82,9354038.0,303967422.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
