condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_tech_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_tech_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
a_share_same_day_relative_strength,589720_same_day_outperformance,2,42,0.33333333,-0.00205756,-0.00711550,-0.15778286,0.47619048,0.38095238,0.26190476,-0.00190717,-0.00971709,-0.01180508,-0.00293272,-0.00436364,0.00000000,0.23809524,high
a_share_same_day_relative_strength,589720_same_day_outperformance,3,42,0.38095238,-0.00806517,-0.00878991,-0.35832409,0.40476190,0.26190476,0.26190476,-0.00188039,-0.02424286,-0.02558305,-0.00654913,0.00527273,0.00000000,0.23809524,high
a_share_same_day_relative_strength,589720_same_day_outperformance,5,41,0.34146341,-0.00917619,-0.01333333,-0.44177134,0.36585366,0.26829268,0.21951220,-0.00255095,-0.03566087,-0.03841264,-0.00467192,0.00806250,0.00000000,0.24390244,high
a_share_same_day_relative_strength,589720_two_day_relative_strength,0,6,0.33333333,-0.00830280,-0.01480727,-0.05993503,0.16666667,0.16666667,0.16666667,-0.00610453,-0.01458832,-0.01722040,0.00971044,0.00150000,0.00000000,0.16666667,low
a_share_same_day_relative_strength,589720_two_day_relative_strength,1,6,0.66666667,0.00076193,0.00360256,-0.01480485,1.00000000,0.16666667,0.16666667,0.00467010,-0.00558313,-0.00539168,-0.00403211,0.01050000,0.00000000,0.16666667,low
a_share_same_day_relative_strength,589720_two_day_relative_strength,2,6,0.33333333,-0.00842115,-0.00771909,-0.06260581,0.83333333,0.33333333,0.00000000,0.00440635,-0.01542793,-0.02505832,-0.01781394,0.03300000,0.00000000,0.16666667,low
a_share_same_day_relative_strength,589720_two_day_relative_strength,3,6,0.16666667,-0.01994725,-0.01155706,-0.10973624,0.66666667,0.16666667,0.16666667,0.00054880,-0.02678260,-0.03574879,-0.02638274,-0.00450000,0.00000000,0.16666667,low
a_share_same_day_relative_strength,589720_two_day_relative_strength,5,6,0.16666667,-0.02245866,-0.02270937,-0.11846832,0.50000000,0.16666667,0.16666667,-0.00024922,-0.05135324,-0.04366730,-0.02510879,0.02850000,0.00000000,0.16666667,low
a_share_same_day_relative_strength,589720_strong_159567_not_follow_same_day,0,7,0.00000000,-0.00485000,-0.00321543,-0.03042763,0.57142857,0.00000000,0.00000000,0.00546071,-0.04586602,-0.03671645,0.01399334,0.01457143,0.00000000,0.14285714,low
a_share_same_day_relative_strength,589720_strong_159567_not_follow_same_day,1,7,0.57142857,-0.00228691,0.00482509,-0.06869890,0.28571429,0.42857143,0.28571429,-0.00227927,0.00095667,-0.01411528,0.00125560,-0.00857143,0.00000000,0.14285714,low
a_share_same_day_relative_strength,589720_strong_159567_not_follow_same_day,2,7,0.28571429,-0.00923784,-0.00844391,-0.07051136,0.42857143,0.28571429,0.28571429,-0.00147074,-0.00643187,-0.02269975,-0.01273561,-0.03171429,0.00000000,0.14285714,low
a_share_same_day_relative_strength,589720_strong_159567_not_follow_same_day,3,7,0.42857143,-0.00485519,-0.00241255,-0.07326523,0.57142857,0.14285714,0.14285714,0.00019116,-0.02748587,-0.04622220,-0.00570766,0.01028571,0.00000000,0.14285714,low
a_share_same_day_relative_strength,589720_strong_159567_not_follow_same_day,5,7,0.57142857,-0.00541095,0.00107527,-0.09092752,0.42857143,0.14285714,0.14285714,0.00063923,-0.03583751,-0.06402907,0.00112651,0.00171429,0.00000000,0.14285714,low
a_share_same_day_relative_strength,589720_strong_159567_beats_159557_same_day,0,36,0.88888889,0.02597923,0.02493124,-0.00618812,1.00000000,0.75000000,0.69444444,0.00781141,0.01348284,0.02011505,0.02714706,0.01593103,0.00000000,0.41666667,medium
a_share_same_day_relative_strength,589720_strong_159567_beats_159557_same_day,1,36,0.41666667,-0.00490707,-0.00400014,-0.18118541,0.41666667,0.38888889,0.38888889,-0.00097465,-0.00297761,-0.00683589,-0.00530340,-0.00393103,0.00000000,0.41666667,medium
a_share_same_day_relative_strength,589720_strong_159567_beats_159557_same_day,2,35,0.20000000,-0.01193149,-0.01162791,-0.33646807,0.42857143,0.34285714,0.22857143,-0.00368622,-0.01191686,-0.01620889,-0.01235022,-0.02057143,0.00000000,0.40000000,medium
a_share_same_day_relative_strength,589720_strong_159567_beats_159557_same_day,3,35,0.31428571,-0.01219628,-0.01689189,-0.34118256,0.42857143,0.31428571,0.22857143,-0.00460121,-0.02214787,-0.01908941,-0.01021585,-0.01671429,0.00000000,0.40000000,medium
a_share_same_day_relative_strength,589720_strong_159567_beats_159557_same_day,5,35,0.25714286,-0.01857124,-0.02585034,-0.51781014,0.40000000,0.28571429,0.22857143,-0.00477452,-0.04021259,-0.04129739,-0.01454979,-0.01607143,0.00000000,0.40000000,medium
